"ROK","ICP","ICO","NACE"
2022,211000832,41972791,"181200"
2022,211000882,45274924,"421100"
2022,211000892,27257258,"712090"
2022,211000922,62414259,"181200"
2022,211000932,60933810,"473000"
2022,211000952,48133990,"841100"
2022,211000982,47538457,"360000"
2022,211001032,27450171,"473000"
2022,211001052,27935311,"701000"
2022,211001082,66001,"522100"
2022,211001182,60110872,"473000"
2022,211001192,26433885,"161000"
2022,211001242,45149755,"331700"
2022,211001282,46356541,"281300"
2022,211001302,26186292,"172900"
2022,211001342,235661,"841100"
2022,211001352,235661,"841100"
2022,211001362,62576615,"351100"
2022,211001372,47538457,"360000"
2022,211001402,61681407,"281400"
2022,211001502,25225227,"293200"
2022,211001522,45308314,"471100"
2022,211001542,47048361,"011100"
2022,211001632,25144430,"011100"
2022,211001662,25705695,"473000"
2022,211001762,60470968,"475200"
2022,211001792,27115313,"241020"
2022,211001832,47542098,"473000"
2022,211001842,62954237,"201300"
2022,211001882,15890554,"473000"
2022,211001932,60471778,"236300"
2022,211001972,473057,"331300"
2022,211002052,25479733,"467120"
2022,211002182,25702556,"351200"
2022,211002212,45147612,"281300"
2022,211002222,49452011,"081200"
2022,211002242,25137026,"236300"
2022,211002292,25502247,"081200"
2022,211002322,43001343,"108900"
2022,211070012,45148210,"462100"
2022,211070022,45148210,"462100"
2022,211070052,25479733,"467120"
2022,211070072,62958500,"015000"
2022,211070162,27946576,"931100"
2022,211070292,27890201,"289900"
2022,211070302,62485253,"161000"
2022,211070322,60935081,"256200"
2022,211070332,28947509,"682020"
2022,211070352,46356118,"014600"
2022,211070372,27892638,"236300"
2022,211070562,43144136,"015000"
2022,211070612,235661,"841100"
2022,211070622,41189671,"467120"
2022,211100182,61683736,"473000"
2022,211100232,49679597,"467130"
2022,211100252,26196620,"360000"
2022,211100292,65993390,"522100"
2022,211100302,15890554,"473000"
2022,211100332,62579657,"473000"
2022,211100342,62579657,"473000"
2022,211100362,49823574,"473000"
2022,211100422,26775611,"473000"
2022,211100452,60193468,"495010"
2022,211100462,25074466,"259300"
2022,211100602,45308314,"471100"
2022,211100652,60471778,"236300"
2022,211170052,220159,"431100"
2022,211170102,27584534,"081200"
2022,211170112,62956833,"467400"
2022,211170132,26479893,"110700"
2022,211170192,49452011,"081200"
2022,211170262,25672983,"236400"
2022,211170272,45308314,"471100"
2022,211200012,25745042,"015000"
2022,211200042,25714350,"015000"
2022,211200102,47542098,"473000"
2022,211200112,47542098,"473000"
2022,211200212,60193531,"521000"
2022,211200282,46357483,"271100"
2022,211200312,45307385,"282500"
2022,211200402,28514980,"107100"
2022,211200562,75032911,"853110"
2022,211200642,75034964,"853110"
2022,211200732,48950874,"284100"
2022,211200762,509965,"853210"
2022,211200802,49825526,"283000"
2022,211200842,47535229,"172300"
2022,211200852,47538902,"293200"
2022,211200932,48677752,"872010"
2022,211200952,46356967,"360000"
2022,211201182,25767712,"015000"
2022,211201282,25110161,"471100"
2022,211201352,25669265,"222100"
2022,211201362,27942201,"256100"
2022,211201382,10242252,"452000"
2022,211201402,70979391,"910100"
2022,211201622,27407667,"281200"
2022,211201692,27124568,"271100"
2022,211201922,25767101,"259900"
2022,211202012,48666114,"473000"
2022,211202052,27450171,"473000"
2022,211202082,25261282,"421100"
