"Ukazatel","IndicatorType","Pohlaví","POHL2","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Liberecký kraj","CZ051","433948"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Královéhradecký kraj","CZ052","552212"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Pardubický kraj","CZ053","511400"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Kraj Vysočina","CZ063","513677"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Jihomoravský kraj","CZ064","1140534"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Olomoucký kraj","CZ071","641791"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Zlínský kraj","CZ072","590780"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2008","2008","Moravskoslezský kraj","CZ080","1249897"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Česko","CZ","10467542"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Praha","CZ01","1233211"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Střední Čechy","CZ02","1230691"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Jihozápad","CZ03","1205955"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Severozápad","CZ04","1144294"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Severovýchod","CZ05","1507030"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Jihovýchod","CZ06","1662557"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Střední Morava","CZ07","1233549"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Moravskoslezsko","CZ08","1250255"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Hlavní město Praha","CZ010","1233211"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Středočeský kraj","CZ020","1230691"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Jihočeský kraj","CZ031","636328"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Plzeňský kraj","CZ032","569627"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Karlovarský kraj","CZ041","308403"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Ústecký kraj","CZ042","835891"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Liberecký kraj","CZ051","437325"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Královéhradecký kraj","CZ052","554520"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2009","2009","Pardubický kraj","CZ053","515185"
